customer_id,age,gender,monthly_spend,membership_years,region,churn
CUST00001,60,Female,438.20,12,South,1
CUST00002,,Female,367.73,7,North,1
CUST00003,43,Male,None,14,East,1
CUST00004,21,Male,184.03,unknown,North,0
CUST00005,34,Male,missing,-1,East,1
CUST00006,50,Female,-,1,North,1
CUST00007,65,Female,89.88,14,North,1
CUST00008,,Female,266.86,2,North,1
CUST00009,thirty-five,Male,138.01,10,East,1
CUST00010,46,Male,238.52,2,East,1
CUST00011,61,,316.78,13,North,0
CUST00012,20,Male,237.85,,East,1
CUST00013,52,Female,394.30,11,East,0
CUST00014,34,Female,327.24,99,North,0
CUST00015,21,Male,144.52,1,South,1
CUST00016,67,Male,-,4,South,1
CUST00017,21,Male,None,4,north ,0
CUST00018,Twenty,Male,None,13,West,0
CUST00019,49,Female,$,None,East,1
CUST00020,31,Male,241.65,9,SOUTH,1
CUST00021,28,Male,abc,-1,East,0
CUST00022,,Male,missing,12,West,1
CUST00023,69,Female,113.93,5,South,1
CUST00024,thirty-five,M,176.18,99,South,0
CUST00025,Twenty,Female,413.27,99,East,0
CUST00026,N/A,,205.68,99,East,0
CUST00027,50,other,61.10,12,South,0
CUST00028,63,Male,236.14,3,North,1
CUST00029,35,unknown,126.30,10,West,1
CUST00030,21,Female,234.74,2,South,1
CUST00031,54,unknown,266.57,12,South,1
CUST00032,47,Female,196.78,0,West,1
CUST00033,32,Male,439.63,99,South,1
CUST00034,22,F,-,6,South,0
CUST00035,65,Male,345.53,unknown,East,0
CUST00036,67,Female,394.27,8,West,1
CUST00037,39,Male,110.39,,,0
CUST00038,37,Male,-,4,South,0
CUST00039,51,Female,387.57,9,West,1
CUST00040,63,,None,4,East,1
CUST00041,66,Female,298.74,12,East,0
CUST00042,37,Female,-,2,South,1
CUST00043,36,Female,abc,13,West,1
CUST00044,30,Male,-,5,,0
CUST00045,,Female,None,0,n,1
CUST00046,,Male,281.39,6,East,1
CUST00047,35,M,168.98,14,East,1
CUST00048,52,Male,$,3,South,0
CUST00049,51,Male,196.48,3,South,1
CUST00050,32,Male,,6,West,0
CUST00051,,Male,177.76,3,North,1
CUST00052,55,Male,None,11,East,0
CUST00053,57,Male,482.39,2,eest,0
CUST00054,40,Female,None,0,,0
CUST00055,N/A,Male,86.39,11,West,1
CUST00056,35,other,abc,5,North,0
CUST00057,27,Male,310.25,2,North,1
CUST00058,,M,283.25,3,East,0
CUST00059,thirty-five,Male,missing,0,South,1
CUST00060,N/A,Female,73.82,None,,0
CUST00061,53,Female,73.05,5,SOUTH,1
CUST00062,46,Female,100.39,6,,1
CUST00063,69,Female,66.52,9,West,0
CUST00064,20,,303.90,1,north ,0
CUST00065,N/A,Female,91.37,,North,1
CUST00066,51,Female,-,,South,0
CUST00067,Twenty,unknown,313.54,1,South,0
CUST00068,22,Male,422.84,13,East,1
CUST00069,,F,313.63,4,South,0
CUST00070,52,Female,137.18,0,,0
CUST00071,68,Female,-,unknown,North,0
CUST00072,67,Male,496.18,6,n,1
CUST00073,Twenty,Male,None,99,East,0
CUST00074,N/A,other,309.67,3,North,0
CUST00075,42,Male,416.32,5,North,0
CUST00076,19,Female,446.56,11,South,1
CUST00077,31,F,456.60,8,North,1
CUST00078,,Male,411.89,13,West,1
CUST00079,thirty-five,M,293.85,None,,1
CUST00080,thirty-five,Female,340.29,13,?,0
CUST00081,21,Female,,2,South,0
CUST00082,54,Female,192.41,3,South,1
CUST00083,19,Female,196.46,11,West,1
CUST00084,24,Female,355.51,3,?,1
CUST00085,35,Male,$,5,East,0
CUST00086,29,Male,abc,2,West,1
CUST00087,20,Female,237.67,2,West,0
CUST00088,20,unknown,302.61,14,north ,1
CUST00089,56,Female,267.92,,North,0
CUST00090,46,Male,428.16,5,South,1
CUST00091,39,Male,203.39,-1,North,0
CUST00092,,Male,353.40,11,north ,1
CUST00093,37,M,126.28,5,East,1
CUST00094,35,Female,229.60,5,South,1
CUST00095,69,Female,287.91,,East,1
CUST00096,49,Male,,5,West,0
CUST00097,69,Female,84.14,12,North,0
CUST00098,59,Female,$,10,West,0
CUST00099,46,Male,182.32,6,North,1
CUST00100,69,Female,166.57,10,West,0
CUST00101,63,Female,276.67,2,South,1
CUST00102,56,Female,246.30,99,West,0
CUST00103,59,,214.29,6,n,1
CUST00104,66,Male,-,0,West,1
CUST00105,56,Male,61.58,7,?,0
CUST00106,55,,275.55,9,North,0
CUST00107,30,Female,222.38,7,East,1
CUST00108,66,Male,abc,12,South,1
CUST00109,49,Male,abc,5,East,1
CUST00110,64,,89.83,5,SOUTH,0
CUST00111,N/A,Male,387.54,None,East,0
CUST00112,,Male,$,,South,1
CUST00113,,unknown,190.93,8,West,1
CUST00114,60,Female,435.66,9,West,0
CUST00115,58,Male,441.68,13,eest,1
CUST00116,40,Male,285.07,6,South,1
CUST00117,,Male,264.07,1,?,1
CUST00118,61,,141.11,,West,0
CUST00119,69,other,$,-1,n,0
CUST00120,Twenty,Male,458.28,,East,0
CUST00121,,Female,abc,2,SOUTH,0
CUST00122,40,Male,327.98,,,1
CUST00123,N/A,Female,384.11,None,East,1
CUST00124,,M,188.28,1,East,0
CUST00125,22,,missing,0,north ,0
CUST00126,49,Female,missing,14,North,1
CUST00127,33,Male,431.93,7,West,0
CUST00128,40,Male,225.73,14,,1
CUST00129,65,Male,179.57,5,West,0
CUST00130,thirty-five,Female,None,unknown,West,1
CUST00131,56,Male,missing,,West,0
CUST00132,29,Female,335.71,13,North,1
CUST00133,,unknown,444.34,-1,East,1
CUST00134,28,Female,445.50,99,eest,0
CUST00135,22,Female,310.36,13,East,1
CUST00136,37,Male,233.42,7,South,1
CUST00137,41,,182.03,14,East,1
CUST00138,61,Male,66.87,14,East,0
CUST00139,37,Male,476.06,9,north ,1
CUST00140,56,Female,336.35,12,North,1
CUST00141,40,Female,113.39,3,South,1
CUST00142,,Male,107.53,10,?,1
CUST00143,43,Female,missing,-1,South,1
CUST00144,53,Female,491.93,7,South,0
CUST00145,64,,471.72,6,West,1
CUST00146,21,Male,140.74,2,n,1
CUST00147,20,,abc,5,North,1
CUST00148,thirty-five,Male,332.75,None,West,0
CUST00149,57,,460.96,6,North,1
CUST00150,22,Male,254.02,6,West,1
CUST00151,49,Female,missing,2,West,1
CUST00152,34,Male,74.05,13,West,1
CUST00153,60,Male,170.49,None,West,0
CUST00154,21,Female,471.45,99,,0
CUST00155,40,,None,12,East,1
CUST00156,36,Female,233.10,-1,West,0
CUST00157,41,Female,276.99,6,North,1
CUST00158,42,Female,213.77,8,East,0
CUST00159,19,,454.41,10,South,0
CUST00160,67,Female,134.63,7,South,0
CUST00161,68,Female,311.60,6,West,0
CUST00162,67,Male,437.50,7,West,1
CUST00163,22,Female,377.88,-1,West,0
CUST00164,42,Male,abc,3,North,1
CUST00165,53,,278.82,11,North,1
CUST00166,50,Female,179.27,13,West,1
CUST00167,34,Male,473.39,8,North,0
CUST00168,22,,191.03,unknown,?,1
CUST00169,,Female,371.32,3,South,0
CUST00170,46,Female,263.26,12,South,0
CUST00171,thirty-five,Male,203.42,12,South,0
CUST00172,thirty-five,Female,263.09,7,North,0
CUST00173,56,Male,160.82,5,West,0
CUST00174,54,Female,389.81,7,West,1
CUST00175,19,Male,None,8,South,0
CUST00176,26,Female,188.22,7,West,0
CUST00177,39,Female,80.45,14,East,0
CUST00178,,Female,488.79,None,South,0
CUST00179,62,Male,310.73,14,East,1
CUST00180,53,Female,134.11,12,East,0
CUST00181,N/A,unknown,428.61,10,East,0
CUST00182,19,Female,$,3,East,1
CUST00183,51,Male,105.75,7,North,0
CUST00184,64,F,346.48,11,East,1
CUST00185,,Male,290.35,10,West,1
CUST00186,30,Female,232.57,14,eest,0
CUST00187,33,,missing,12,South,0
CUST00188,28,Female,-,11,?,1
CUST00189,43,Male,missing,2,North,1
CUST00190,63,Male,434.94,3,,0
CUST00191,58,M,50.42,4,West,1
CUST00192,27,Male,115.00,11,West,1
CUST00193,Twenty,,$,0,North,0
CUST00194,23,Female,475.60,8,East,0
CUST00195,61,Female,319.68,0,North,0
CUST00196,24,Male,None,8,West,0
CUST00197,52,Female,154.52,4,West,0
CUST00198,27,Male,372.05,8,South,0
CUST00199,47,M,70.63,13,East,0
CUST00200,thirty-five,Male,357.33,13,North,1
CUST00201,N/A,,191.72,1,West,0
CUST00202,56,Male,250.26,,East,0
CUST00203,Twenty,Female,$,7,North,1
CUST00204,22,Male,246.72,10,South,0
CUST00205,24,Female,169.38,8,West,0
CUST00206,60,other,441.29,0,South,1
CUST00207,20,Male,,5,East,0
CUST00208,62,unknown,172.70,5,North,1
CUST00209,61,,-,4,North,0
CUST00210,61,Male,173.56,3,North,0
CUST00211,38,Male,223.81,12,East,0
CUST00212,25,Male,missing,9,East,1
CUST00213,36,Male,348.23,14,eest,1
CUST00214,55,Female,148.91,9,East,1
CUST00215,53,Male,266.76,2,West,0
CUST00216,54,Male,355.80,11,West,1
CUST00217,43,unknown,176.18,2,East,1
CUST00218,32,Male,198.21,3,West,0
CUST00219,40,Male,402.63,11,n,1
CUST00220,thirty-five,Male,97.02,10,North,0
CUST00221,,Male,57.04,6,West,0
CUST00222,36,F,-,12,West,1
CUST00223,,,486.76,4,East,0
CUST00224,27,M,152.75,3,North,0
CUST00225,49,Female,127.50,8,North,1
CUST00226,34,Male,125.07,14,North,1
CUST00227,27,Female,401.90,3,East,1
CUST00228,39,Female,452.48,3,n,0
CUST00229,63,Female,299.79,5,East,0
CUST00230,N/A,Female,194.25,5,eest,1
CUST00231,24,Male,415.71,99,SOUTH,0
CUST00232,58,Male,298.87,2,North,0
CUST00233,39,Male,355.50,3,West,0
CUST00234,22,Male,234.04,4,East,1
CUST00235,18,Female,172.70,10,North,1
CUST00236,30,Female,,11,South,0
CUST00237,47,Male,186.25,1,East,0
CUST00238,50,Male,490.75,14,West,1
CUST00239,33,other,351.76,12,,1
CUST00240,36,,missing,2,West,1
CUST00241,40,Female,345.11,99,East,0
CUST00242,N/A,Male,72.73,9,South,1
CUST00243,38,,212.97,4,North,1
CUST00244,60,Female,487.63,14,South,1
CUST00245,48,Female,237.67,14,West,1
CUST00246,27,Male,86.01,None,West,1
CUST00247,49,F,270.20,5,North,1
CUST00248,46,M,382.40,3,North,0
CUST00249,39,Female,127.26,0,north ,0
CUST00250,48,Male,,10,North,1
CUST00251,39,Female,417.77,13,East,0
CUST00252,Twenty,Female,169.27,3,East,0
CUST00253,54,Female,431.24,2,n,0
CUST00254,67,Female,,1,South,0
CUST00255,51,Female,-,-1,East,0
